mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.003176093101501465,0.00015294551849365234,0.001043558120727539,0.00013637542724609375,1.382623217936987,{'clf__C': np.float64(1.382623217936987)},0.6760883690708253,0.8806804306804307,0.7783843998756279,0.1022960308048027,48
0.002391815185546875,6.389617919921875e-05,0.0008685588836669922,4.553794860839844e-05,0.006290644294586149,{'clf__C': np.float64(0.006290644294586149)},0.8281625781625783,0.865287357512238,0.8467249678374081,0.018562389674829816,4
0.0027338266372680664,7.712841033935547e-05,0.0010601282119750977,8.094310760498047e-05,0.11400863701127326,{'clf__C': np.float64(0.11400863701127326)},0.8123847829730184,0.7915486029122393,0.8019666929426288,0.01041809003038957,32
0.0027723312377929688,9.250640869140625e-05,0.0008865594863891602,1.8477439880371094e-05,0.23423849847112907,{'clf__C': np.float64(0.23423849847112907)},0.7850547056429409,0.8059425423061787,0.7954986239745598,0.010443918331618895,38
0.0025637149810791016,0.0001049041748046875,0.0009801387786865234,8.416175842285156e-05,0.0015339162591163618,{'clf__C': np.float64(0.0015339162591163618)},0.7654160654160655,0.8878768891926787,0.8266464773043721,0.06123041188830658,25
0.002576470375061035,0.00019538402557373047,0.0008559226989746094,7.152557373046875e-06,0.26926469100861794,{'clf__C': np.float64(0.26926469100861794)},0.7715219421101775,0.8059425423061787,0.7887322422081782,0.017210300098000564,43
0.002199530601501465,0.00012052059173583984,0.0008965730667114258,6.830692291259766e-05,0.004809461967501573,{'clf__C': np.float64(0.004809461967501573)},0.8099747474747476,0.8804388726637531,0.8452068100692504,0.03523206259450273,6
0.002139449119567871,0.00010335445404052734,0.0008676052093505859,4.553794860839844e-05,0.0018205657658407262,{'clf__C': np.float64(0.0018205657658407262)},0.7724867724867726,0.8878768891926787,0.8301818308397256,0.05769505835295308,21
0.0035053491592407227,0.00020039081573486328,0.0010241270065307617,7.092952728271484e-05,6.245139574743075,{'clf__C': np.float64(6.245139574743075)},0.5780868913221855,0.9153485403485404,0.746717715835363,0.16863082451317746,56
0.0030564069747924805,0.0002645254135131836,0.0008324384689331055,8.463859558105469e-06,7.2866537374910445,{'clf__C': np.float64(7.2866537374910445)},0.5738781371134313,0.9153485403485404,0.7446133387309859,0.17073520161755457,58
0.003149867057800293,0.0001569986343383789,0.0009599924087524414,8.213520050048828e-05,1.7123375973163988,{'clf__C': np.float64(1.7123375973163988)},0.6734567901234569,0.8854423354423355,0.7794495627828962,0.1059927726594393,47
0.002309560775756836,0.00027251243591308594,0.0009393692016601562,2.956390380859375e-05,0.01653693718282442,{'clf__C': np.float64(0.01653693718282442)},0.8368045534712203,0.8481601731601732,0.8424823633156968,0.005677809844476467,10
0.0023365020751953125,4.76837158203125e-05,0.0008978843688964844,3.3855438232421875e-05,0.002458603276328005,{'clf__C': np.float64(0.002458603276328005)},0.7806387512269866,0.8878768891926787,0.8342578202098326,0.053619068982846074,18
0.002702474594116211,0.00010156631469726562,0.0009324550628662109,1.6450881958007812e-05,0.5456725485601477,{'clf__C': np.float64(0.5456725485601477)},0.750925925925926,0.8336648200284564,0.7922953729771912,0.04136944705126522,39
0.0023310184478759766,1.1920928955078125e-05,0.0008814334869384766,5.459785461425781e-05,0.057624872164786026,{'clf__C': np.float64(0.057624872164786026)},0.8174655047204067,0.8031551781551781,0.8103103414377923,0.007155163282614285,30
