mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_pca__n_components,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.0032134056091308594,0.0005195140838623047,0.0010385513305664062,0.00013256072998046875,0.26926469100861794,0.7,"{'clf__C': np.float64(0.26926469100861794), 'pca__n_components': 0.7}",0.6355197070776781,0.8304957668594033,0.7330077369685407,0.09748802989086258,52
0.0025184154510498047,9.751319885253906e-05,0.0008904933929443359,1.6450881958007812e-05,0.06338653441536259,0.8,"{'clf__C': np.float64(0.06338653441536259), 'pca__n_components': 0.8}",0.8301366843033511,0.8246198246198246,0.8273782544615879,0.0027584298417632214,29
0.003371000289916992,0.0001430511474609375,0.0010504722595214844,1.7404556274414062e-05,6.245139574743075,0.95,"{'clf__C': np.float64(6.245139574743075), 'pca__n_components': 0.95}",0.7878167641325537,0.9063065722156631,0.8470616681741084,0.05924490404155469,7
0.0029213428497314453,0.00025844573974609375,0.0009189844131469727,2.205371856689453e-05,0.17912362571043663,0.8,"{'clf__C': np.float64(0.17912362571043663), 'pca__n_components': 0.8}",0.8301366843033511,0.7687590187590189,0.7994478515311849,0.030688832772166108,33
0.002603888511657715,0.00010716915130615234,0.0009026527404785156,5.4836273193359375e-06,0.01653693718282442,0.7,"{'clf__C': np.float64(0.01653693718282442), 'pca__n_components': 0.7}",0.5986071027737694,0.8903072937163847,0.7444571982450771,0.14585009547130767,48
0.002843141555786133,6.389617919921875e-05,0.0011578798294067383,6.496906280517578e-05,0.008386394780402562,0.95,"{'clf__C': np.float64(0.008386394780402562), 'pca__n_components': 0.95}",0.8590267756934424,0.8324295587453483,0.8457281672193954,0.013298608474047069,14
0.0027451515197753906,4.982948303222656e-05,0.0012270212173461914,0.0002611875534057617,0.057624872164786026,0.9,"{'clf__C': np.float64(0.057624872164786026), 'pca__n_components': 0.9}",0.7997312872312874,0.7710858585858587,0.785408572908573,0.01432271432271437,37
0.004384040832519531,0.0013399124145507812,0.0010869503021240234,8.392333984375e-05,0.27541439213320307,0.95,"{'clf__C': np.float64(0.27541439213320307), 'pca__n_components': 0.95}",0.8907627865961201,0.8031551781551781,0.8469589823756491,0.04380380422047098,9
0.00258481502532959,0.00011909008026123047,0.0009604692459106445,3.039836883544922e-05,0.0013726318898045872,0.8,"{'clf__C': np.float64(0.0013726318898045872), 'pca__n_components': 0.8}",0.7757547463429817,0.9062409812409813,0.8409978637919815,0.0652431174489998,19
0.0025191307067871094,6.29425048828125e-05,0.0009219646453857422,1.9073486328125e-06,0.036664218320637224,0.8,"{'clf__C': np.float64(0.036664218320637224), 'pca__n_components': 0.8}",0.8301366843033511,0.8473470973470973,0.8387418908252242,0.008605206521873132,23
